
Controle interno - Julho

DT EMISSAO;PEDIDO;REFERENCIA;MERCADORIA;FAMILIA;QT;PRECO VENDA;VLR TOTAL;ATENDENTE;OBS
15.07.2026;CF90285;7891000100103;Dipirona 500mg 20cp;Genericos;2;R$ 12,90;R$ 25,80;Carla;
17.07.2026;CF46331;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;10;R$ 41,80;R$ 418,00;Bruno;
18.07.2026;CF76552;7891000100408;Omeprazol 20mg 28cp;Genericos;9;R$ 22,40;R$ 201,60;Diego;
17.07.2026;CF83336;7891000100202;Losartana 50mg 30cp;Genericos;12;R$ 18,50;R$ 222,00;Carla;
;;;;;;;;;
05.07.2026;CF25941;7891000100202;Losartana 50mg 30cp;Genericos;8;R$ 18,50;R$ 148,00;Diego;
11.07.2026;CF97969;7891000100408;Omeprazol 20mg 28cp;Genericos;8;R$ 22,40;R$ 179,20;Ana;
03.07.2026;CF97749;7891000100202;Losartana 50mg 30cp;Genericos;7;R$ 18,50;R$ 129,50;Bruno;
25.07.2026;CF94339;7891000100305;Protetor solar FPS 50;Dermocosmeticos;2;R$ 74,90;R$ 149,80;Bruno;
05.07.2026;CF27990;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;6;R$ 48,60;R$ 291,60;Carla;
24.07.2026;CF62200;7891000100408;Omeprazol 20mg 28cp;Genericos;4;R$ 22,40;R$ 89,60;Ana;
22.07.2026;CF31163;7891000100408;Omeprazol 20mg 28cp;Genericos;3;R$ 22,40;R$ 67,20;Bruno;
17.07.2026;CF54448;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;7;R$ 48,60;R$ 340,20;Diego;
12.07.2026;CF22084;7891000100408;Omeprazol 20mg 28cp;Genericos;4;R$ 22,40;R$ 89,60;Carla;
01.07.2026;CF82620;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;6;R$ 48,60;R$ 291,60;Carla;
23.07.2026;CF60376;7891000100408;Omeprazol 20mg 28cp;Genericos;8;R$ 22,40;R$ 179,20;Ana;
20.07.2026;CF77143;7891000100305;Protetor solar FPS 50;Dermocosmeticos;9;R$ 74,90;R$ 674,10;Carla;
26.07.2026;CF23733;7891000100103;Dipirona 500mg 20cp;Genericos;2;R$ 12,90;R$ 25,80;Bruno;
09.07.2026;CF33796;7891000100103;Dipirona 500mg 20cp;Genericos;5;R$ 12,90;R$ 64,50;Ana;
27.07.2026;CF98601;7891000100305;Protetor solar FPS 50;Dermocosmeticos;3;R$ 74,90;R$ 224,70;Diego;
05.07.2026;CF52866;7891000100305;Protetor solar FPS 50;Dermocosmeticos;7;R$ 74,90;R$ 524,30;Diego;
02.07.2026;CF65747;7891000100103;Dipirona 500mg 20cp;Genericos;5;R$ 12,90;R$ 64,50;Bruno;
01.07.2026;CF44151;7891000100103;Dipirona 500mg 20cp;Genericos;5;R$ 12,90;R$ 64,50;Ana;
28.07.2026;CF18732;7891000100103;Dipirona 500mg 20cp;Genericos;10;R$ 12,90;R$ 129,00;Bruno;
15.07.2026;CF54453;7891000100305;Protetor solar FPS 50;Dermocosmeticos;2;R$ 74,90;R$ 149,80;Ana;
09.07.2026;CF15663;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;7;R$ 41,80;R$ 292,60;Bruno;
08.07.2026;CF31161;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;12;R$ 41,80;R$ 501,60;Ana;
06.07.2026;CF50893;7891000100305;Protetor solar FPS 50;Dermocosmeticos;1;R$ 74,90;R$ 74,90;Bruno;
17.07.2026;CF48005;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;5;R$ 48,60;R$ 243,00;Bruno;
22.07.2026;CF45457;7891000100408;Omeprazol 20mg 28cp;Genericos;9;R$ 22,40;R$ 201,60;Bruno;
09.07.2026;CF12011;7891000100305;Protetor solar FPS 50;Dermocosmeticos;1;R$ 74,90;R$ 74,90;Ana;
15.07.2026;CF90285;7891000100103;Dipirona 500mg 20cp;Genericos;2;R$ 12,90;R$ 25,80;Carla;
15.07.2026;CF54453;7891000100305;Protetor solar FPS 50;Dermocosmeticos;2;R$ 74,90;R$ 149,80;Ana;
26.07.2026;CF23733;7891000100103;Dipirona 500mg 20cp;Genericos;2;R$ 12,90;R$ 25,80;Bruno;
09.07.2026;CF33796;7891000100103;Dipirona 500mg 20cp;Genericos;5;R$ 12,90;R$ 64,50;Ana;
03.07.2026;CF97749;7891000100202;Losartana 50mg 30cp;Genericos;7;R$ 18,50;R$ 129,50;Bruno;
17.07.2026;CF48005;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;5;R$ 48,60;R$ 243,00;Bruno;
;;;;;;;;;
