DROGARIA SAO BENTO - RELATORIO DE VENDAS
Periodo: MAIO/2026

Data;Cupom;Cod Produto;Descricao;Grupo;Qtde;Preco Unitario;Valor Total;Vendedor
13/05/2026;CF19494;7891000100305;Protetor solar FPS 50;Dermocosmeticos;3;74,90;224,70;Ana
12/05/2026;CF76510;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;2;41,80;83,60;Ana
03/05/2026;CF64810;7891000100202;Losartana 50mg 30cp;Genericos;1;18,50;18,50;Diego
03/05/2026;CF17747;7891000100103;Dipirona 500mg 20cp;Genericos;4;12,90;51,60;Diego
08/05/2026;CF85642;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;2;41,80;83,60;Ana
02/05/2026;CF16105;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;7;41,80;292,60;Bruno
10/05/2026;CF28907;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;3;41,80;125,40;Diego
19/05/2026;CF83434;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;2;41,80;83,60;Carla
04/05/2026;CF58810;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;3;48,60;145,80;Bruno
23/05/2026;CF83972;7891000100103;Dipirona 500mg 20cp;Genericos;9;12,90;116,10;Ana
07/05/2026;CF99181;7891000100103;Dipirona 500mg 20cp;Genericos;10;12,90;129,00;Diego
25/05/2026;CF71027;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;7;41,80;292,60;Carla
12/05/2026;CF42561;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;8;41,80;334,40;Carla
25/05/2026;CF20728;7891000100202;Losartana 50mg 30cp;Genericos;12;18,50;222,00;Bruno
17/05/2026;CF55020;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;5;41,80;209,00;Diego
10/05/2026;CF25475;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;8;48,60;388,80;Ana
06/05/2026;CF29920;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;7;41,80;292,60;Carla
02/05/2026;CF83148;7891000100408;Omeprazol 20mg 28cp;Genericos;7;22,40;156,80;Ana
11/05/2026;CF87905;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;6;41,80;250,80;Carla
26/05/2026;CF19012;7891000100408;Omeprazol 20mg 28cp;Genericos;10;22,40;224,00;Diego
16/05/2026;CF17952;7891000100103;Dipirona 500mg 20cp;Genericos;5;12,90;64,50;Ana
10/05/2026;CF47302;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;12;48,60;583,20;Diego
22/05/2026;CF12957;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;7;48,60;340,20;Carla
06/05/2026;CF74709;7891000100408;Omeprazol 20mg 28cp;Genericos;6;22,40;134,40;Ana
25/05/2026;CF26952;7891000100103;Dipirona 500mg 20cp;Genericos;4;12,90;51,60;Carla
13/05/2026;CF75078;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;4;48,60;194,40;Diego
15/05/2026;CF82016;7891000100103;Dipirona 500mg 20cp;Genericos;3;12,90;38,70;Diego
27/05/2026;CF82118;7891000100305;Protetor solar FPS 50;Dermocosmeticos;3;74,90;224,70;Diego
14/05/2026;CF99485;7891000100305;Protetor solar FPS 50;Dermocosmeticos;12;74,90;898,80;Carla
05/05/2026;CF33097;7891000100408;Omeprazol 20mg 28cp;Genericos;4;22,40;89,60;Ana
22/05/2026;CF11581;7891000100202;Losartana 50mg 30cp;Genericos;4;18,50;74,00;Bruno
06/05/2026;CF46953;7891000100408;Omeprazol 20mg 28cp;Genericos;10;22,40;224,00;Carla
14/05/2026;CF89929;7891000100103;Dipirona 500mg 20cp;Genericos;3;12,90;38,70;Carla
05/05/2026;CF69853;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;6;41,80;250,80;Ana
13/05/2026;CF62294;7891000100604;Vitamina D 2000UI 60cp;Medicamentos;9;48,60;437,40;Diego
16/05/2026;CF18158;7891000100408;Omeprazol 20mg 28cp;Genericos;2;22,40;44,80;Diego
07/05/2026;CF31273;7891000100202;Losartana 50mg 30cp;Genericos;2;18,50;37,00;Diego
20/05/2026;CF23419;7891000100103;Dipirona 500mg 20cp;Genericos;6;12,90;77,40;Ana
05/05/2026;CF57659;7891000100103;Dipirona 500mg 20cp;Genericos;10;12,90;129,00;Ana
03/05/2026;CF90487;7891000100500;Amoxicilina 500mg 21cp;Medicamentos;1;41,80;41,80;Bruno

TOTAL GERAL;;;;;;;7.700,50;
