DATA,NOTA,SKU,ITEM,DEPARTAMENTO,QUANT,UNITARIO,FATURAMENTO,OPERADOR
2026-06-21,CF55533,7891000100408,"Omeprazol 20mg 28cp",Genericos,3,22.40,67.20,Carla
2026-06-16,CF25119,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,6,41.80,250.80,Ana
2026-06-16,CF50875,7891000100408,"Omeprazol 20mg 28cp",Genericos,8,22.40,179.20,Diego
2026-06-04,CF44702,7891000100103,"Dipirona 500mg 20cp",Genericos,3,12.90,38.70,Carla
2026-06-06,CF36897,7891000100408,"Omeprazol 20mg 28cp",Genericos,12,22.40,268.80,Ana
2026-06-05,CF79220,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,6,41.80,250.80,Ana
2026-06-28,CF44224,7891000100305,"Protetor solar FPS 50",Dermocosmeticos,11,74.90,823.90,Ana
2026-06-06,CF39201,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,6,41.80,250.80,Carla
2026-06-25,CF93419,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,9,41.80,376.20,Carla
2026-06-26,CF41377,7891000100202,"Losartana 50mg 30cp",Genericos,10,18.50,185.00,Bruno
2026-06-26,CF36203,7891000100408,"Omeprazol 20mg 28cp",Genericos,12,22.40,268.80,Bruno
2026-06-12,CF13661,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,8,41.80,334.40,Ana
2026-06-09,CF89316,7891000100305,"Protetor solar FPS 50",Dermocosmeticos,8,74.90,599.20,Bruno
2026-06-26,CF57793,7891000100305,"Protetor solar FPS 50",Dermocosmeticos,8,74.90,599.20,Carla
2026-06-04,CF71614,7891000100103,"Dipirona 500mg 20cp",Genericos,4,12.90,51.60,Bruno
2026-06-07,CF91797,7891000100202,"Losartana 50mg 30cp",Genericos,6,18.50,111.00,Diego
2026-06-16,CF94296,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,1,41.80,41.80,Carla
2026-06-04,CF36125,7891000100103,"Dipirona 500mg 20cp",Genericos,11,12.90,141.90,Diego
2026-06-14,CF21370,7891000100408,"Omeprazol 20mg 28cp",Genericos,3,22.40,67.20,Carla
2026-06-15,CF21130,7891000100604,"Vitamina D 2000UI 60cp",Medicamentos,7,48.60,340.20,Diego
2026-06-06,CF13610,7891000100604,"Vitamina D 2000UI 60cp",Medicamentos,3,48.60,145.80,Bruno
2026-06-15,CF90160,7891000100202,"Losartana 50mg 30cp",Genericos,10,18.50,185.00,Bruno
2026-06-22,CF30435,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,8,41.80,334.40,Carla
2026-06-05,CF11866,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,9,41.80,376.20,Ana
2026-06-04,CF66860,7891000100604,"Vitamina D 2000UI 60cp",Medicamentos,11,48.60,534.60,Bruno
2026-06-01,CF37889,7891000100202,"Losartana 50mg 30cp",Genericos,4,18.50,74.00,Carla
2026-06-08,CF43995,7891000100305,"Protetor solar FPS 50",Dermocosmeticos,9,74.90,674.10,Carla
2026-06-27,CF17982,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,7,41.80,292.60,Bruno
2026-06-15,CF75752,7891000100604,"Vitamina D 2000UI 60cp",Medicamentos,6,48.60,291.60,Diego
2026-06-05,CF67688,7891000100202,"Losartana 50mg 30cp",Genericos,9,18.50,166.50,Ana
2026-06-01,CF32589,7891000100202,"Losartana 50mg 30cp",Genericos,10,18.50,185.00,Bruno
2026-06-20,CF82938,7891000100202,"Losartana 50mg 30cp",Genericos,8,18.50,148.00,Ana
2026-06-22,CF23907,7891000100103,"Dipirona 500mg 20cp",Genericos,6,12.90,77.40,Diego
2026-06-08,CF46296,7891000100500,"Amoxicilina 500mg 21cp",Medicamentos,1,41.80,41.80,Bruno
2026-06-17,CF83626,7891000100103,"Dipirona 500mg 20cp",Genericos,2,12.90,25.80,Diego
