origem;data;documento;produto;codigo;categoria;quantidade;valor_unitario;valor_total;vendedor;ano;mes;revisar
Vendas_MAIO_2026.csv;2026-05-02;CF16105;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;7,00;41,80;292,60;Bruno;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-02;CF83148;Omeprazol 20mg 28cp;7891000100408;Genericos;7,00;22,40;156,80;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-03;CF90487;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;1,00;41,80;41,80;Bruno;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-03;CF64810;Losartana 50mg 30cp;7891000100202;Genericos;1,00;18,50;18,50;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-03;CF17747;Dipirona 500mg 20cp;7891000100103;Genericos;4,00;12,90;51,60;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-04;CF58810;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;3,00;48,60;145,80;Bruno;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-05;CF33097;Omeprazol 20mg 28cp;7891000100408;Genericos;4,00;22,40;89,60;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-05;CF69853;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;6,00;41,80;250,80;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-05;CF57659;Dipirona 500mg 20cp;7891000100103;Genericos;10,00;12,90;129,00;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-06;CF29920;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;7,00;41,80;292,60;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-06;CF74709;Omeprazol 20mg 28cp;7891000100408;Genericos;6,00;22,40;134,40;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-06;CF46953;Omeprazol 20mg 28cp;7891000100408;Genericos;10,00;22,40;224,00;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-07;CF99181;Dipirona 500mg 20cp;7891000100103;Genericos;10,00;12,90;129,00;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-07;CF31273;Losartana 50mg 30cp;7891000100202;Genericos;2,00;18,50;37,00;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-08;CF85642;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;2,00;41,80;83,60;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-10;CF25475;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;8,00;48,60;388,80;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-10;CF28907;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;3,00;41,80;125,40;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-10;CF47302;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;12,00;48,60;583,20;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-11;CF87905;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;6,00;41,80;250,80;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-12;CF42561;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;8,00;41,80;334,40;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-12;CF76510;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;2,00;41,80;83,60;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-13;CF75078;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;4,00;48,60;194,40;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-13;CF19494;Protetor solar FPS 50;7891000100305;Dermocosmeticos;3,00;74,90;224,70;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-13;CF62294;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;9,00;48,60;437,40;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-14;CF89929;Dipirona 500mg 20cp;7891000100103;Genericos;3,00;12,90;38,70;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-14;CF99485;Protetor solar FPS 50;7891000100305;Dermocosmeticos;12,00;74,90;898,80;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-15;CF82016;Dipirona 500mg 20cp;7891000100103;Genericos;3,00;12,90;38,70;Diego;2026;2026-05;
